arr_teff_coolstar,arr_t0roche_coolstar_Earth,arr_t0roche_coolstar_Earth_lower,arr_t0roche_coolstar_Earth_upper,arr_t0roche_coolstar_SuperEarth,arr_t0roche_coolstar_SuperEarth_lower,arr_t0roche_coolstar_SuperEarth_upper
3.864729458917835473e+03,2.439206321123705948e+03,2.420187185839316044e+03,2.468559776717812383e+03,2.538180107554227561e+03,2.518389247542237172e+03,2.568724615590191661e+03
3.870541082164328600e+03,2.445882817075583716e+03,2.426918055224144155e+03,2.475168988051614633e+03,2.545127510513324978e+03,2.525393230202977065e+03,2.575602003775358753e+03
3.876352705410821727e+03,2.452559749844074304e+03,2.433648474809379877e+03,2.481778413517732588e+03,2.552075368013403931e+03,2.532396744812953784e+03,2.582479614781520922e+03
3.882164328657314400e+03,2.459237077586902615e+03,2.440378409323862797e+03,2.488388018648751768e+03,2.559023636514388727e+03,2.539399754669837876e+03,2.589357412742709130e+03
3.887975951903807527e+03,2.465914758459830864e+03,2.447107823432985697e+03,2.494997768939732850e+03,2.565972272474160036e+03,2.546402223005277392e+03,2.596235361753901998e+03
3.893787575150300654e+03,2.472592750615141540e+03,2.453836681737875551e+03,2.501607629847412227e+03,2.572921232346978286e+03,2.553404112984044787e+03,2.603113425870201354e+03
3.899599198396793327e+03,2.479271012200130372e+03,2.460564948774584991e+03,2.508217566789413468e+03,2.579870472581913873e+03,2.560405387703200176e+03,2.609991569106009592e+03
3.905410821643286454e+03,2.485949501355612028e+03,2.467292589013292400e+03,2.514827545143472889e+03,2.586819949621293745e+03,2.567406010191257337e+03,2.616869755434219314e+03
3.911222444889779581e+03,2.492628176214457653e+03,2.474019566857507471e+03,2.521437530246649658e+03,2.593769619899179361e+03,2.574405943407352879e+03,2.623747948785400695e+03
3.917034068136272708e+03,2.499306994900116479e+03,2.480745846643296318e+03,2.528047487394561813e+03,2.600719439839827828e+03,2.581405150240446346e+03,2.630626113046999308e+03
3.922845691382765381e+03,2.505985915525188830e+03,2.487471392638485213e+03,2.534657381840623657e+03,2.607669365856206241e+03,2.588403593508486665e+03,2.637504212062541683e+03
3.928657314629258508e+03,2.512664896189979117e+03,2.494196169041905705e+03,2.541267178795279506e+03,2.614619354348487377e+03,2.595401235957629069e+03,2.644382209630846319e+03
